src_ip,dst_ip,up_bytes,down_bytes
192.168.108.115,150.222.136.43,43050,345055
192.168.108.115,150.222.212.192,30138,215068
192.168.108.115,150.222.215.238,11230,103319
192.168.108.115,151.236.219.230,31856,264404
192.168.108.115,157.240.212.174,3130849,27249364
192.168.108.115,157.240.212.35,3577298,30509019
192.168.108.115,157.240.212.60,1293890,11025822
192.168.108.115,157.55.197.92,51004,415806
192.168.108.115,157.56.180.164,48059,338663
192.168.108.115,157.56.31.120,54884,428844
192.168.108.115,162.222.181.179,21300,157847
192.168.108.115,162.243.184.236,14615,117259
192.168.108.115,162.243.186.170,25506,289181
192.168.108.115,164.152.199.185,33743,246454
192.168.108.115,172.104.211.109,104528,872583
192.168.108.115,172.105.150.82,50884,424804
192.168.108.115,172.217.17.14,4137313,34073847
192.168.108.115,172.232.16.243,37551,355162
192.168.108.115,172.96.97.70,76353,672895
192.168.108.115,173.230.145.56,20691,136817
192.168.108.115,176.32.116.142,15719,121666
192.168.108.115,18.154.22.25,48517,474029
192.168.108.115,18.154.41.91,247425,2265758
192.168.108.115,18.154.48.124,644882,5588370
192.168.108.115,18.67.242.41,48212,439117
192.168.108.115,185.15.58.224,1251371,10470297
192.168.108.115,185.3.95.182,17278,151851
192.168.108.115,185.88.181.4,1167737,9883722
192.168.108.115,185.88.181.55,488908,4301286
192.168.108.115,191.235.248.41,8271,84721
192.168.108.115,191.235.250.23,8655,65083
192.168.108.115,191.238.70.109,33293,347296
192.168.108.115,192.168.108.226,73531,166949
192.168.108.115,192.168.108.234,80876,187419
192.168.108.115,192.168.108.240,13206786,112368188
192.168.108.115,192.29.140.101,25659,213705
192.168.108.115,192.29.140.107,15930,152264
192.168.108.115,192.44.68.200,69174,607699
192.168.108.115,193.126.232.45,974913,8338831
192.168.108.115,193.126.240.146,1612515,13260296
192.168.108.115,193.137.20.123,557593,4691125
192.168.108.115,198.199.98.155,11835,99733
192.168.108.115,198.54.117.212,167857,1577972
192.168.108.115,198.58.104.8,148941,1318061
192.168.108.115,199.223.235.212,88026,787542
192.168.108.115,199.36.156.112,40915,386198
192.168.108.115,20.140.16.203,6070,37045
192.168.108.115,20.158.128.113,64076,527595
192.168.108.115,20.33.2.203,61609,522760
192.168.108.115,20.95.56.2,31214,268720
192.168.108.115,204.79.180.56,18487,188325
192.168.108.115,204.79.197.212,2108669,18329026
192.168.108.115,204.79.197.232,42525,428644
192.168.108.115,205.251.225.189,85457,712358
192.168.108.115,205.251.254.21,115540,841065
192.168.108.115,207.192.71.89,32374,304673
192.168.108.115,207.192.75.104,156435,1269540
192.168.108.115,209.17.63.68,175557,1426035
192.168.108.115,212.71.233.13,8729,60214
192.168.108.115,213.13.146.142,3064806,26002900
192.168.108.115,213.52.128.100,96989,781777
192.168.108.115,213.52.129.232,23478,214008
192.168.108.115,216.58.215.131,3130207,26333236
192.168.108.115,23.49.244.192,17986,127096
192.168.108.115,23.49.244.54,154678,1505596
192.168.108.115,23.97.119.1,8526,83753
192.168.108.115,3.2.47.98,5561,74642
192.168.108.115,3.3.15.221,26668,248055
192.168.108.115,3.33.34.61,19196,156255
192.168.108.115,3.4.10.158,41602,357012
192.168.108.115,40.112.47.94,12536,80827
192.168.108.115,40.120.136.237,103110,1015461
192.168.108.115,40.66.1.203,30107,222770
192.168.108.115,40.66.4.194,26536,417045
192.168.108.115,40.77.247.2,36341,314682
192.168.108.115,40.79.6.100,9150,96369
192.168.108.115,40.96.46.227,29497,238945
192.168.108.115,40.97.20.139,19839,181927
192.168.108.115,45.60.74.62,92348,756734
192.168.108.115,45.79.0.19,17869,120221
192.168.108.115,51.0.116.17,62766,557840
192.168.108.115,51.141.130.45,11901,99040
192.168.108.115,51.141.134.250,45431,410991
192.168.108.115,51.141.139.112,18071,132823
192.168.108.115,51.141.159.220,15600,177324
192.168.108.115,52.103.129.95,7497,67626
192.168.108.115,52.103.134.32,9786,105212
192.168.108.115,52.108.117.241,24836,239377
192.168.108.115,52.111.209.221,36612,325469
192.168.108.115,52.112.84.60,58110,542555
192.168.108.115,52.115.85.208,55696,533012
192.168.108.115,52.125.134.95,9545,43723
192.168.108.115,52.126.224.14,151215,1077686
192.168.108.115,52.127.114.221,21839,168115
192.168.108.115,52.144.194.97,39410,381640
192.168.108.115,52.165.49.66,31830,270078
192.168.108.115,52.239.167.95,49879,407820
192.168.108.115,52.239.187.154,59530,566753
192.168.108.115,52.246.145.168,14669,86486
192.168.108.115,52.93.60.66,88759,841845
192.168.108.115,52.95.239.137,19124,190846
192.168.108.115,52.95.255.124,76901,649650
192.168.108.115,54.192.95.95,596782,5784471
192.168.108.115,54.239.100.10,114769,945727
192.168.108.115,62.28.254.212,827536,7008729
192.168.108.115,62.28.254.215,724582,5960574
192.168.108.115,63.246.119.138,39101,340481
192.168.108.115,63.246.119.58,46888,325711
192.168.108.115,65.55.110.208,9246,63295
192.168.108.115,66.254.114.41,713000,6325000
192.168.108.115,69.164.202.250,62864,589660
192.168.108.115,69.164.202.254,28867,275816
192.168.108.115,69.55.54.123,168199,1419389
192.168.108.115,72.14.182.155,9953,104767
192.168.108.115,76.223.175.144,92335,823437
192.168.108.115,88.157.217.145,3072905,26116117
192.168.108.115,88.157.217.146,1137096,9912546
192.168.108.115,88.157.217.148,327551,2838619
192.168.108.115,94.46.135.219,41063,385823
192.168.108.116,104.17.45.30,342428,2841561
192.168.108.116,104.212.67.144,40947,259894
192.168.108.116,104.22.47.238,164415,1470943
192.168.108.116,104.244.42.193,1726903,15094177
192.168.108.116,104.26.3.6,25710,198155
192.168.108.116,104.26.9.83,245264,2141434
192.168.108.116,104.47.202.63,41015,345322
192.168.108.116,104.83.180.153,126214,1067828
192.168.108.116,108.157.98.113,456713,3744956
192.168.108.116,108.157.98.51,80486,685415
192.168.108.116,109.74.205.249,41923,347842
192.168.108.116,129.213.14.236,164554,1460501
192.168.108.116,13.107.15.89,39862,297069
192.168.108.116,13.107.213.108,23049,202274
192.168.108.116,13.107.213.254,52627,504832
192.168.108.116,13.107.237.42,269403,2087721
192.168.108.116,13.107.238.110,34918,333598
192.168.108.116,13.107.42.14,466745,4115287
192.168.108.116,13.107.42.25,40202,1659035
192.168.108.116,13.107.42.26,54549,1501993
192.168.108.116,13.107.42.28,39703,998527
192.168.108.116,13.107.42.32,38281,2255505
192.168.108.116,13.107.42.33,24335,1107056
192.168.108.116,13.107.42.35,95906,4594190
192.168.108.116,13.107.42.36,39908,1989781
192.168.108.116,13.107.42.38,52991,1724707
192.168.108.116,13.107.42.47,40997,2105087
192.168.108.116,13.107.42.59,59182,2196532
192.168.108.116,13.107.42.6,37629,707950
192.168.108.116,13.107.42.61,34286,1210651
192.168.108.116,13.107.42.8,51304,2032026
192.168.108.116,13.107.42.9,82531,4860998
192.168.108.116,13.107.6.156,43326,363554
192.168.108.116,13.34.75.36,50793,464503
192.168.108.116,130.35.1.180,92803,870245
192.168.108.116,131.186.1.173,29005,185922
192.168.108.116,131.186.11.41,24310,168236
192.168.108.116,131.253.21.140,39266,356939
192.168.108.116,131.253.21.200,8661,71873
192.168.108.116,132.145.2.210,21870,199443
192.168.108.116,134.70.24.4,70279,614012
192.168.108.116,134.70.27.151,44417,360144
192.168.108.116,138.197.243.75,11633,69273
192.168.108.116,139.144.164.144,38569,257216
192.168.108.116,142.250.184.144,29608,1842432
192.168.108.116,142.250.184.153,39920,1190144
192.168.108.116,142.250.184.155,36276,1891449
192.168.108.116,142.250.184.157,75470,3071497
192.168.108.116,142.250.184.158,39122,1719322
192.168.108.116,142.250.184.177,33352,1295592
192.168.108.116,142.250.184.178,47867,2433615
192.168.108.116,142.250.184.185,37705,1401874
192.168.108.116,142.250.184.188,36866,1650129
192.168.108.116,142.250.184.191,48188,2221282
192.168.108.116,142.250.184.193,23587,1201597
192.168.108.116,142.250.184.218,55089,2748238
192.168.108.116,142.250.184.219,33948,1546192
192.168.108.116,142.250.184.237,44562,1501927
192.168.108.116,142.250.184.238,32301,974178
192.168.108.116,142.250.184.253,51889,2177422
192.168.108.116,142.250.200.68,3932740,32827111
192.168.108.116,142.4.178.68,108564,874342
192.168.108.116,142.4.178.86,29962,229242
192.168.108.116,143.198.244.231,34967,278857
192.168.108.116,143.244.220.125,112866,1126055
192.168.108.116,143.42.150.135,5155,44892
192.168.108.116,146.75.89.140,130883,1118918
192.168.108.116,146.75.90.167,185421,1653802
192.168.108.116,148.69.168.40,512966,4359343
192.168.108.116,15.230.141.47,32343,264599
192.168.108.116,15.230.143.198,15652,124714
192.168.108.116,15.230.18.30,9901,111377
192.168.108.116,15.230.246.110,5266,73028
192.168.108.116,15.230.35.20,55498,538318
192.168.108.116,150.222.229.148,17382,123329
192.168.108.116,150.222.231.15,34769,255026
192.168.108.116,150.222.236.145,31686,208009
192.168.108.116,157.240.212.174,2509677,20882607
192.168.108.116,157.240.212.35,3261114,28106720
192.168.108.116,157.240.212.60,900434,7729879
192.168.108.116,157.55.103.251,8817,71561
192.168.108.116,157.55.194.69,80411,559299
192.168.108.116,157.55.30.220,20425,115054
192.168.108.116,157.55.38.147,60892,409157
192.168.108.116,157.55.48.194,154605,1332820
192.168.108.116,159.248.203.78,46232,382408
192.168.108.116,170.187.132.145,20994,130069
192.168.108.116,172.104.5.213,72466,496560
192.168.108.116,172.104.8.242,36350,325906
192.168.108.116,172.217.17.14,4187884,34896589
192.168.108.116,172.67.73.32,46697,369712
192.168.108.116,173.255.236.181,59598,405794
192.168.108.116,176.32.121.170,19873,276433
192.168.108.116,176.32.124.136,36131,276302
192.168.108.116,178.79.148.33,67586,526649
192.168.108.116,18.154.41.91,188411,1803178
192.168.108.116,18.154.48.124,590911,5160017
192.168.108.116,18.67.242.41,24132,210216
192.168.108.116,185.15.58.224,1757663,15139826
192.168.108.116,185.88.181.4,1143994,9566157
192.168.108.116,185.88.181.55,461232,4207903
192.168.108.116,186.192.81.5,77380,601817
192.168.108.116,192.168.108.226,78902,181612
192.168.108.116,192.168.108.234,74590,170846
192.168.108.116,192.168.108.240,9975150,84896718
192.168.108.116,192.18.200.177,34615,278337
192.168.108.116,193.126.232.45,1477680,12509034
192.168.108.116,193.126.240.146,1730061,14673953
192.168.108.116,193.137.20.123,638039,5419233
192.168.108.116,198.54.117.212,291810,2498579
192.168.108.116,198.74.62.101,185836,1681149
192.168.108.116,199.223.236.103,59758,483408
192.168.108.116,199.36.155.199,4958,49409
192.168.108.116,20.140.95.249,8880,48947
192.168.108.116,20.143.36.156,85225,675665
192.168.108.116,20.202.169.120,8660,75966
192.168.108.116,20.34.52.88,27144,302127
192.168.108.116,20.95.240.246,28713,247571
192.168.108.116,204.152.19.82,38243,260791
192.168.108.116,204.79.197.212,2191890,18763798
192.168.108.116,205.251.254.133,54441,502846
192.168.108.116,207.127.124.123,33589,277095
192.168.108.116,207.135.30.47,82701,673500
192.168.108.116,207.46.13.105,39383,326414
192.168.108.116,207.46.198.167,11862,105406
192.168.108.116,209.240.213.159,54034,446729
192.168.108.116,213.13.146.142,2943215,24535011
192.168.108.116,213.52.128.81,11029,69075
192.168.108.116,216.58.215.131,3614341,31014961
192.168.108.116,23.103.191.119,147421,1175192
192.168.108.116,23.103.210.38,24204,128894
192.168.108.116,23.49.244.54,45796,438307
192.168.108.116,3.2.11.147,14558,147831
192.168.108.116,3.2.43.78,32365,222888
192.168.108.116,3.2.49.100,75840,536501
192.168.108.116,3.3.0.90,17003,148344
192.168.108.116,3.4.8.35,41618,325805
192.168.108.116,40.123.136.244,33170,351727
192.168.108.116,40.123.176.23,19429,177783
192.168.108.116,40.123.184.191,5858,42076
192.168.108.116,40.77.138.206,41547,328265
192.168.108.116,40.77.173.18,10075,101312
192.168.108.116,40.77.232.38,17864,170360
192.168.108.116,40.77.237.159,119916,1035303
192.168.108.116,40.77.247.229,13495,141684
192.168.108.116,40.79.5.67,6989,55866
192.168.108.116,40.79.89.115,22793,204124
192.168.108.116,40.90.64.130,92819,882375
192.168.108.116,40.91.12.11,14778,120346
192.168.108.116,40.96.61.211,10294,117074
192.168.108.116,40.97.22.147,9828,68992
192.168.108.116,45.60.74.62,43820,404099
192.168.108.116,45.79.15.98,12089,72383
192.168.108.116,52.101.98.205,13783,77282
192.168.108.116,52.103.132.121,22476,214868
192.168.108.116,52.103.132.213,38254,263478
192.168.108.116,52.103.38.23,84177,933985
192.168.108.116,52.108.132.151,30301,211113
192.168.108.116,52.108.165.76,16137,86492
192.168.108.116,52.112.38.20,36972,360386
192.168.108.116,52.114.212.212,11070,67727
192.168.108.116,52.122.65.157,78339,743746
192.168.108.116,52.125.137.19,31009,318663
192.168.108.116,52.126.224.138,30748,243777
192.168.108.116,52.126.237.29,21348,247994
192.168.108.116,52.165.59.73,82794,623078
192.168.108.116,52.176.225.159,43062,358633
192.168.108.116,52.185.112.111,28568,236238
192.168.108.116,52.185.52.190,47867,425730
192.168.108.116,52.219.226.36,56126,411016
192.168.108.116,52.219.232.184,6510,70740
192.168.108.116,52.219.233.201,14941,94045
192.168.108.116,52.239.148.159,11298,117422
192.168.108.116,52.245.149.238,14706,89009
192.168.108.116,52.245.77.114,37580,277716
192.168.108.116,52.46.164.208,6789,62524
192.168.108.116,52.46.183.219,84758,580398
192.168.108.116,52.46.255.203,37489,369912
192.168.108.116,52.93.56.9,125761,1118604
192.168.108.116,52.94.144.183,59527,498437
192.168.108.116,52.95.219.237,4311,41753
192.168.108.116,52.95.28.237,17371,143108
192.168.108.116,54.192.95.95,803545,6851716
192.168.108.116,54.240.230.151,86973,690561
192.168.108.116,62.28.254.212,882118,7607229
192.168.108.116,62.28.254.215,1233815,10411684
192.168.108.116,63.246.119.135,25992,245259
192.168.108.116,64.4.54.28,9683,64692
192.168.108.116,65.52.110.121,29003,306242
192.168.108.116,65.52.111.7,51124,334198
192.168.108.116,65.55.207.123,21895,194760
192.168.108.116,65.55.217.103,17946,180666
192.168.108.116,65.55.250.123,77214,681935
192.168.108.116,66.246.138.19,116952,921897
192.168.108.116,66.254.114.41,183598,1493496
192.168.108.116,72.247.155.216,20424,167318
192.168.108.116,74.207.234.220,41179,353696
192.168.108.116,74.207.246.137,49923,442973
192.168.108.116,74.207.253.239,9047,64454
192.168.108.116,8.8.8.107,6223,32430
192.168.108.116,88.157.217.145,2586610,22278651
192.168.108.116,88.157.217.146,1569272,13095808
192.168.108.116,88.157.217.148,278837,2297663
192.168.108.116,94.46.135.219,64291,507099
192.168.108.117,104.17.45.30,41907,421614
192.168.108.117,104.244.42.193,641802,5219449
192.168.108.117,104.26.3.6,28402,218014
192.168.108.117,108.157.98.113,159771,1315053
192.168.108.117,108.157.98.51,139567,1228352
192.168.108.117,129.153.241.237,8029,81611
192.168.108.117,13.107.16.194,42184,341541
192.168.108.117,13.107.237.42,54118,410936
192.168.108.117,13.107.42.14,95148,866161
192.168.108.117,13.107.42.28,52397,2829515
192.168.108.117,13.107.42.29,1784302145,20751926
192.168.108.117,13.107.42.35,37849,1339923
192.168.108.117,13.107.42.47,46420,2275177
192.168.108.117,13.107.6.156,7267,57096
192.168.108.117,13.34.23.97,25325,169582
192.168.108.117,13.87.122.15,15539,144065
192.168.108.117,138.1.52.15,39143,265260
192.168.108.117,138.2.242.101,22276,141856
192.168.108.117,140.204.112.200,34678,312364
192.168.108.117,142.250.184.131,22303,973610
192.168.108.117,142.250.184.158,54679,1858311
192.168.108.117,142.250.184.165,36041,1619521
192.168.108.117,142.250.184.168,33544,1435442
192.168.108.117,142.250.184.194,43511,1760400
192.168.108.117,142.250.184.196,36239,1805388
192.168.108.117,142.250.200.68,1217131,10463160
192.168.108.117,143.244.213.132,6359,78805
192.168.108.117,146.75.90.167,155476,1351819
192.168.108.117,148.69.168.40,102121,851309
192.168.108.117,15.230.131.112,64030,596980
192.168.108.117,15.230.250.234,60885,520836
192.168.108.117,15.248.40.54,79687,601538
192.168.108.117,150.222.212.118,30216,313656
192.168.108.117,157.240.212.174,880567,7408028
192.168.108.117,157.240.212.35,1017261,8115520
192.168.108.117,157.240.212.60,327278,2978128
192.168.108.117,172.217.17.14,537757,4598735
192.168.108.117,173.255.235.168,5788,38950
192.168.108.117,173.255.238.101,20463,256763
192.168.108.117,18.154.22.25,32423,366232
192.168.108.117,18.154.48.124,155682,1401125
192.168.108.117,18.67.242.41,215462,1738914
192.168.108.117,185.15.58.224,519814,4540834
192.168.108.117,185.88.181.4,434002,3552234
192.168.108.117,185.88.181.55,43820,270235
192.168.108.117,186.192.81.5,11473,86248
192.168.108.117,192.168.108.226,27127,63145
192.168.108.117,192.168.108.234,23744,53283
192.168.108.117,192.168.108.240,5183278,44123012
192.168.108.117,192.29.141.112,21898,136276
192.168.108.117,192.29.143.23,53265,436686
192.168.108.117,193.126.232.45,154781,1392374
192.168.108.117,193.126.240.146,245723,2143623
192.168.108.117,193.137.20.123,510788,4124489
192.168.108.117,198.54.117.212,67207,598113
192.168.108.117,199.36.155.195,37676,349839
192.168.108.117,20.201.223.222,48801,479038
192.168.108.117,20.201.223.78,18667,115162
192.168.108.117,204.79.197.212,205404,1617051
192.168.108.117,207.135.27.179,46167,432774
192.168.108.117,207.192.73.181,109947,1001995
192.168.108.117,212.111.43.52,33758,243393
192.168.108.117,213.13.146.142,904102,7679874
192.168.108.117,216.58.215.131,820974,7148908
192.168.108.117,40.123.161.43,50820,512093
192.168.108.117,40.70.84.158,83968,773993
192.168.108.117,40.79.92.203,13397,130357
192.168.108.117,40.96.61.134,10664,75890
192.168.108.117,45.60.74.62,114642,806612
192.168.108.117,51.141.130.25,40366,431039
192.168.108.117,51.141.134.18,73145,642238
192.168.108.117,52.102.166.156,97938,951473
192.168.108.117,52.113.207.220,12537,175319
192.168.108.117,52.113.207.244,91135,896571
192.168.108.117,52.119.255.158,15802,105022
192.168.108.117,52.126.232.172,31418,276168
192.168.108.117,52.165.104.56,216373,1637930
192.168.108.117,52.239.177.101,21454,231579
192.168.108.117,54.192.95.95,310101,2751739
192.168.108.117,62.28.254.212,346582,2999320
192.168.108.117,62.28.254.215,134440,1067829
192.168.108.117,65.52.34.81,49876,300451
192.168.108.117,66.254.114.41,84896,750170
192.168.108.117,69.55.54.73,3941,49292
192.168.108.117,8.8.8.149,53673,478668
192.168.108.117,88.157.217.145,802843,6887720
192.168.108.117,88.157.217.146,513190,4508398
192.168.108.117,88.157.217.148,46722,314978
192.168.108.118,104.17.45.30,96018,867999
192.168.108.118,104.212.67.15,45569,383671
192.168.108.118,104.22.47.238,117633,855680
192.168.108.118,104.244.42.193,1799408,14840566
192.168.108.118,104.26.3.6,385380,2920890
192.168.108.118,104.26.9.83,25283,207741
192.168.108.118,104.83.180.153,223740,1888772
192.168.108.118,108.157.98.113,257287,2268432
192.168.108.118,108.157.98.51,51426,523902
192.168.108.118,129.148.161.30,10636,134641
192.168.108.118,129.149.23.184,82709,587908
192.168.108.118,129.149.23.87,12514,112748
192.168.108.118,129.213.212.139,40764,293458
192.168.108.118,13.104.198.188,24167,234186
192.168.108.118,13.105.107.37,35558,297932
192.168.108.118,13.105.108.105,49276,410123
192.168.108.118,13.105.116.119,20402,122798
192.168.108.118,13.105.75.232,33930,344236
192.168.108.118,13.107.13.137,9783,84441
192.168.108.118,13.107.237.42,294254,2648528
192.168.108.118,13.107.42.14,315593,2732111
192.168.108.118,13.107.42.17,23084,1186060
192.168.108.118,13.107.42.18,33206,1604512
192.168.108.118,13.107.42.29,36569,1136216
192.168.108.118,13.107.42.36,35102,1874364
192.168.108.118,13.107.42.42,41251,1649628
192.168.108.118,13.107.42.44,39341,1627670
192.168.108.118,13.107.42.46,39308,1359596
192.168.108.118,13.107.42.49,61361,1025682
192.168.108.118,13.107.42.52,69617,2143657
192.168.108.118,13.107.6.156,23185,185263
192.168.108.118,13.34.18.134,19787,188777
192.168.108.118,13.34.29.40,152461,1343252
192.168.108.118,13.34.7.77,54790,555594
192.168.108.118,130.35.230.151,17030,151198
192.168.108.118,131.186.4.63,88124,819548
192.168.108.118,134.65.63.195,13404,118147
192.168.108.118,137.184.254.117,13115,164888
192.168.108.118,138.68.36.68,48736,437109
192.168.108.118,139.144.247.126,33566,269271
192.168.108.118,140.204.58.211,8831,83993
192.168.108.118,140.91.8.246,104282,894082
192.168.108.118,142.250.184.165,43130,1342963
192.168.108.118,142.250.184.172,27054,753996
192.168.108.118,142.250.184.185,65975,3282423
192.168.108.118,142.250.184.189,61653,2175222
192.168.108.118,142.250.184.190,33058,1629936
192.168.108.118,142.250.184.191,47378,2149564
192.168.108.118,142.250.184.196,63324,2974638
192.168.108.118,142.250.184.206,44023,2353540
192.168.108.118,142.250.184.216,34950,1588524
192.168.108.118,142.250.184.238,41726,2330935
192.168.108.118,142.250.184.239,51991,2910636
192.168.108.118,142.250.184.242,30450,909033
192.168.108.118,142.250.184.250,43340,2391617
192.168.108.118,142.250.184.253,64712,3665408
192.168.108.118,142.250.200.68,3595390,30493323
192.168.108.118,143.42.189.235,4589,29600
192.168.108.118,146.75.89.140,33916,268126
192.168.108.118,146.75.90.137,196621,1637998
192.168.108.118,146.75.90.167,75937,576432
192.168.108.118,148.69.168.40,757225,6511925
192.168.108.118,15.181.249.180,40714,356838
192.168.108.118,15.221.49.94,46963,368673
192.168.108.118,15.230.184.94,83837,876767
192.168.108.118,15.230.5.72,34159,300496
192.168.108.118,15.230.56.228,12973,96504
192.168.108.118,15.230.73.141,15798,149487
192.168.108.118,150.171.23.208,47975,354767
192.168.108.118,150.222.13.125,24139,219547
192.168.108.118,150.222.199.5,25687,178258
192.168.108.118,150.222.199.67,14271,138740
192.168.108.118,151.236.221.139,65269,585714
192.168.108.118,157.240.212.174,2164916,18387058
192.168.108.118,157.240.212.35,2144665,17725790
192.168.108.118,157.240.212.60,902645,7744831
192.168.108.118,157.55.215.79,58321,491544
192.168.108.118,157.56.31.146,29539,283264
192.168.108.118,162.222.179.34,141372,1033184
192.168.108.118,164.90.252.29,46817,325363
192.168.108.118,170.187.131.247,6484,63713
192.168.108.118,170.187.138.81,134338,1359042
192.168.108.118,172.217.17.14,2667761,23219187
192.168.108.118,172.67.73.32,101492,778909
192.168.108.118,177.72.241.91,49705,411909
192.168.108.118,178.79.166.207,86449,713871
192.168.108.118,18.154.22.25,115884,883642
192.168.108.118,18.154.41.91,13780,79466
192.168.108.118,18.154.48.124,612457,5345899
192.168.108.118,18.67.242.41,75312,757659
192.168.108.118,185.15.58.224,1410387,11938449
192.168.108.118,185.199.109.187,46103,368170
192.168.108.118,185.88.181.4,703523,6196870
192.168.108.118,185.88.181.55,457921,3720973
192.168.108.118,185.89.219.134,41852,346378
192.168.108.118,186.192.81.5,184570,1260659
192.168.108.118,192.168.108.226,68335,158377
192.168.108.118,192.168.108.234,50260,115772
192.168.108.118,192.168.108.240,9827796,82799532
192.168.108.118,192.241.161.13,200767,1644412
192.168.108.118,192.241.167.172,43340,382605
192.168.108.118,192.26.25.85,33695,272782
192.168.108.118,192.81.128.59,12441,132826
192.168.108.118,193.126.232.45,932566,8000020
192.168.108.118,193.126.240.146,1056331,8924732
192.168.108.118,193.137.20.123,393680,3431966
192.168.108.118,198.54.117.212,146331,1170443
192.168.108.118,198.74.61.234,186524,1519737
192.168.108.118,198.74.62.20,32211,283859
192.168.108.118,199.30.16.85,46884,365871
192.168.108.118,20.140.160.19,27951,242576
192.168.108.118,20.195.140.211,66919,696698
192.168.108.118,204.152.19.7,28018,245945
192.168.108.118,204.79.197.212,1576543,13464398
192.168.108.118,205.251.238.167,10486,65594
192.168.108.118,207.192.72.151,22259,179594
192.168.108.118,213.13.146.142,2544617,21346300
192.168.108.118,213.219.39.238,52091,365022
192.168.108.118,216.58.215.131,2287035,19960000
192.168.108.118,23.101.38.27,16836,165476
192.168.108.118,23.49.244.54,158817,1352233
192.168.108.118,23.97.112.97,33238,210528
192.168.108.118,3.2.2.203,31659,338937
192.168.108.118,3.2.43.66,36278,334265
192.168.108.118,3.2.47.125,35329,257580
192.168.108.118,3.3.5.34,42790,462861
192.168.108.118,3.33.34.35,55533,419288
192.168.108.118,3.33.45.30,171477,1589454
192.168.108.118,3.4.1.145,43640,328098
192.168.108.118,40.101.57.223,32307,287033
192.168.108.118,40.112.47.97,17110,143571
192.168.108.118,40.70.87.138,93785,791568
192.168.108.118,40.77.164.11,13007,128570
192.168.108.118,40.77.246.123,17954,175170
192.168.108.118,40.79.6.193,28459,180582
192.168.108.118,40.79.92.117,37143,315576
192.168.108.118,40.93.68.222,22155,174986
192.168.108.118,40.97.44.179,27590,204971
192.168.108.118,40.97.7.181,27076,237211
192.168.108.118,45.79.0.218,36364,289356
192.168.108.118,45.79.14.72,8215,79173
192.168.108.118,51.141.128.144,34961,331700
192.168.108.118,51.143.196.210,75696,606033
192.168.108.118,52.103.165.7,26455,223830
192.168.108.118,52.108.140.101,6690,33750
192.168.108.118,52.112.104.87,19192,146986
192.168.108.118,52.126.203.158,11828,107253
192.168.108.118,52.126.224.90,92800,721954
192.168.108.118,52.219.253.8,47622,408331
192.168.108.118,52.239.166.120,20325,153925
192.168.108.118,52.94.198.102,8148,111633
192.168.108.118,52.94.199.15,31982,335879
192.168.108.118,52.95.239.30,64206,421553
192.168.108.118,54.155.178.5,41266,342073
192.168.108.118,54.192.95.95,416646,3427311
192.168.108.118,62.28.254.212,614060,5204473
192.168.108.118,62.28.254.215,808026,6894343
192.168.108.118,65.55.207.68,17201,137028
192.168.108.118,65.55.209.148,4524,47121
192.168.108.118,66.254.114.41,523715,4747208
192.168.108.118,69.164.203.240,19138,146699
192.168.108.118,70.37.161.196,17593,160095
192.168.108.118,70.37.7.77,5579,44719
192.168.108.118,72.14.183.142,67736,612762
192.168.108.118,72.247.155.216,24063,130990
192.168.108.118,8.8.8.187,18499,149938
192.168.108.118,88.157.217.145,1679932,13803987
192.168.108.118,88.157.217.146,747923,6052078
192.168.108.118,88.157.217.148,214323,1822970
192.168.108.118,94.46.135.219,31719,358394
192.168.108.119,104.17.45.30,237386,2009428
192.168.108.119,104.210.18.230,51089,499783
192.168.108.119,104.212.67.238,37866,245015
192.168.108.119,104.212.68.24,40964,338955
192.168.108.119,104.22.47.238,41068,445174
192.168.108.119,104.244.42.193,1797292,15604703
192.168.108.119,104.26.3.6,485451,3878118
192.168.108.119,104.26.9.83,287676,2523127
192.168.108.119,104.44.95.160,17605,234572
192.168.108.119,104.83.180.153,462390,4213606
192.168.108.119,108.157.98.113,529342,4683935
192.168.108.119,129.148.161.14,88776,654264
192.168.108.119,129.149.20.164,8585,80519
192.168.108.119,129.149.22.22,56119,426433
192.168.108.119,13.104.195.233,30219,246366
192.168.108.119,13.105.60.100,23015,239251
192.168.108.119,13.105.74.106,32139,297876
192.168.108.119,13.107.13.173,16530,162539
192.168.108.119,13.107.237.42,359661,3197193
192.168.108.119,13.107.38.124,10161,88346
192.168.108.119,13.107.42.14,651811,5329078
192.168.108.119,13.107.42.17,46495,1950168
192.168.108.119,13.107.42.21,24513,1296611
192.168.108.119,13.107.42.3,26876,1045136
192.168.108.119,13.107.42.30,35734,1366468
192.168.108.119,13.107.42.32,39913,1688637
192.168.108.119,13.107.42.35,24996,783172
192.168.108.119,13.107.42.41,56599,2360723
192.168.108.119,13.107.42.42,64534,2304942
192.168.108.119,13.107.42.44,22393,956237
192.168.108.119,13.107.42.46,60059,3002306
192.168.108.119,13.107.42.47,53788,2523220
192.168.108.119,13.107.42.48,38897,2078528
192.168.108.119,13.107.42.5,49183,1347891
192.168.108.119,13.107.42.50,48598,1992538
192.168.108.119,13.107.42.52,24061,695146
192.168.108.119,13.107.42.54,38294,950232
192.168.108.119,13.107.42.59,34421,1422246
192.168.108.119,13.107.42.60,141064,5987148
192.168.108.119,13.107.43.71,28023,231663
192.168.108.119,13.107.48.169,77370,678480
192.168.108.119,13.107.52.221,71230,509953
